"","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"ENSG00000227619",30.5804285464135,3.83452575804421,0.780175271507307,4.91495423923891,8.88031994795887e-07,0.000852466373905949
"IGHG1",160.236095117638,3.78356192438879,1.28456218732088,2.94540969813217,0.00322527278526916,0.0656067683637678
"ENSG00000266711",26.5021833553347,3.60186891042361,0.919675369610348,3.91645686015237,8.98598867029801e-05,0.00987886918090126
"DES",467.009990597339,2.75940410050139,1.13356059079798,2.43428019896041,0.0149214392641828,0.135826093354733
"ENSG00000287689",81.229322422535,2.6958533294621,0.994140454652358,2.71174291001447,0.00669304812914398,0.0933014766867298
"IGKC",114.511502034819,2.59395490400988,1.07472358018489,2.4136019268914,0.0157957091642662,0.140247805376998
"KRT8P19",25.2020834813344,2.33304281708918,0.638254439421705,3.65534914132842,0.000256832202891578,0.0176469990316355
"ENSG00000230882",49.6763106641403,2.33260538215586,0.596644621878074,3.90953893929933,9.24724489729504e-05,0.00990610395346029
"LINC01098",14.9451929664597,2.31033202671001,0.95736295791622,2.41322479380092,0.015812064019383,0.140324175869822
"COL6A4P2",37.6939046329616,2.25488679112032,0.625165849592137,3.60686175131195,0.000309922676515575,0.0198827317087684
"KISS1R",51.38199060262,2.25049948569915,0.750555367769083,2.99844566082904,0.00271360542049414,0.0595564979129504
"SMIM32",38.5874307133152,2.24832611416669,0.661964848617973,3.39644335928209,0.000682676845171738,0.0300782721324749
"ENSG00000288993",39.1055434761052,2.22095270962587,0.656717848185769,3.38189789688435,0.000719868956422147,0.0309594536643367
"AMH",155.466337215512,2.21545976524803,0.482222966129485,4.59426431517809,4.34278643007452e-06,0.00179300287859413
"ENSG00000167046",32.5087077492749,2.18460911955006,0.5679861716938,3.84623645508006,0.000119946014899421,0.0117449972322162
"ASPG",19.5620073094004,2.1801348325153,0.703788245051321,3.09771418867094,0.00195019411621075,0.0507722227068604
"ENSG00000281732",188.634195519667,2.17946009973244,0.559365094451507,3.89631051588862,9.76691540600225e-05,0.0102705485221552
"ADORA2A-AS1",61.846968034571,2.17412225870912,0.614156565146048,3.54001305545291,0.000400107238650995,0.0225046364511929
"ENSG00000275993",124.423454166779,2.16086068872039,0.913732496528536,2.36487231977626,0.0180362878597162,0.149755189425396
"FER1L6",64.9627670312761,2.1583477153695,0.733735469850363,2.94158835719046,0.00326533672693757,0.0660329716368831
"SLCO4A1-AS1",44.8360361417586,2.13822775588972,0.620023723832465,3.44862248604455,0.000563453854592638,0.0270390772364634
"KRT19",73.5989951040892,2.13569705011601,0.46013492229301,4.64145829113144,3.4595886028699e-06,0.00164065901860807
"ENSG00000228153",29.8290743267117,2.10936467814605,0.556524159519958,3.79024817173352,0.000150496844710086,0.0133330281544254
"PSAPL1",72.1520454163096,2.09451024196586,0.513718457201097,4.07715590632547,4.55899252906125e-05,0.00668265413987124
"C1QTNF12",24.0089637714998,2.05159872547998,0.630514865899363,3.25384671549907,0.00113853695520948,0.0389133603928252
"KDM5D",1051.42288146841,2.04769190940842,1.47869712732266,1.38479467605107,0.166115259341334,0.431446485745985
"ENSG00000287338",252.930293660288,2.04554462754782,0.713332827238151,2.867587960963,0.00413613811738711,0.0748777219364705
"PDE2A-AS1",25.8847104526565,1.99820160439434,0.666796957013731,2.99671674169501,0.00272904161164542,0.0597709057577439
"SLC52A1",50.3307884500856,1.99065600377704,0.671270119877734,2.96550664900684,0.00302184813179315,0.0636490010734529
"KCNQ2-AS1",79.6472516931104,1.9644583673022,0.716539817696348,2.7415899560444,0.00611426160806469,0.0897327252746679
"ENSG00000275088",24.171621644803,1.95942601537554,0.511508286325923,3.83068284083873,0.000127788134527092,0.0119331421686187
"LRRC58-DT",107.038432877462,1.95913682599005,0.748523296574096,2.61733580632265,0.00886191116442822,0.108126017527683
