"","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"DES",467.009990597339,4.63748648015999,1.07301236647795,4.32193199728169,1.54668863690603e-05,0.0049963315185462
"ENSG00000266711",26.5021833553347,3.35212370721288,0.972914232812379,3.44544626253743,0.000570117311643032,0.033226162167225
"ENSG00000227619",30.5804285464135,3.193917149012,0.880076047178899,3.62913768560133,0.000284369546625997,0.0230530117150346
"ACTG2",129.775519173236,2.99904923737323,1.01135105596764,2.96538894153209,0.00302300471582163,0.075955115943167
"FOXD2",25.733740007959,2.91393873418757,0.998155345866711,2.91932387704377,0.00350791554909659,0.0816577915981234
"MYH11",7969.27413684809,2.83640350291945,0.851014648489537,3.33296672149389,0.000859252193092178,0.040042145553232
"PCSK9",39.4214241674546,2.81556085366417,0.740271103933741,3.80341855666459,0.000142712926540132,0.0168373406892665
"CXCL8",53.099957615559,2.73715462422334,1.38422938634863,1.97738514383336,0.0479981119497907,0.269945534971711
"HSPA6",546.518676361171,2.48688969830774,0.935566234119339,2.65816529884566,0.00785673472394346,0.116990050311143
"KISS1R",51.38199060262,2.48137454859932,0.77939872615547,3.18370362348315,0.00145403804976146,0.0520664307967788
"ENSG00000214888",96.7261777633266,2.48122134835058,1.95333941628655,1.2702458813162,0.203997059011378,0.506789993859854
"ENSG00000228153",29.8290743267117,2.47471067333703,0.594231328379785,4.16455773222948,3.11956684906589e-05,0.00718628792844643
"RSPO1",23.9545501076173,2.4598532179577,1.2017394039901,2.0469106777978,0.0406668554973608,0.250731318893646
"ENSG00000230882",49.6763106641403,2.40292480703409,0.718876900659979,3.34260956893738,0.00082994582578075,0.0390604200643749
"SCARNA11",22.4847013569839,2.37888428776076,0.503571093967493,4.72402867491503,2.31217793122963e-06,0.00233009731019666
"LINC01767",22.9274140220288,2.37242647369454,0.774513175178416,3.06311958237254,0.00219042509300569,0.065404470740044
"CNN1",270.49524590602,2.35386805711972,0.821600806948252,2.86497778143975,0.00417038502348164,0.0897613700147873
"COL6A4P2",37.6939046329616,2.35263003202457,0.601306465480899,3.91253074277696,9.1333906548165e-05,0.0134695235595971
"KRT8P19",25.2020834813344,2.32662093956003,0.68883933011535,3.37759596155816,0.00073122434400122,0.0365400660826725
"RCVRN",47.0654800311315,2.31775815739716,0.820814324363994,2.82373015260554,0.00474683314699787,0.0943359954751772
"SLC52A1",50.3307884500856,2.27305806451145,0.747495245347395,3.04089969623159,0.00235872393263715,0.0683210742931283
"ENSG00000279255",72.6201322329659,2.25830841417926,0.412744527090115,5.47144363148927,4.46384327323789e-08,0.000308483580250224
"ENSG00000231703",40.1306105836826,2.22973687874287,0.643239560587994,3.46641751434665,0.000527443544480592,0.032214014057595
"TESPA1",893.655429883344,2.19000471452426,0.981326904020914,2.23167703397398,0.0256363161885924,0.205651722499932
"KDM5D",1051.42288146841,2.17026945695834,1.77385292647671,1.22347767651121,0.221149330718773,0.524217535108787
"ENSG00000275088",24.171621644803,2.15959998761144,0.574619800579951,3.75831112229652,0.000171064096114925,0.0179073354849434
"GPR78",85.4306801792795,2.14783387919671,0.684397920134184,3.13828230041319,0.00169941119626724,0.0566923575074751
"PSAPL1",72.1520454163096,2.13564184281322,0.549167065405938,3.88887458361069,0.000100710141001312,0.0139987095991824
"ENSG00000265697",15.9079631350642,2.11764022129066,0.974625291674356,2.17277372071134,0.0297973521139726,0.218706101576527
"KRT19",73.5989951040892,2.11322299892602,0.558559171977679,3.78334669797611,0.000154733643454,0.0172869140388006
"PDE2A-AS1",25.8847104526565,2.11308840582471,0.770310418164712,2.74316477616804,0.00608501426162274,0.105261256212936
"MEDAG",58.4189840734305,2.08752702855354,1.08506241479791,1.9238773733973,0.0543699560049847,0.285760054448748
"BPIFB5P",25.0450249955773,2.07639341337652,0.756488216548592,2.74477958539773,0.00605515515726423,0.105159854408167
"KRT17",125.288233335977,2.06804509082917,0.943753733918131,2.19129738670636,0.028430279057605,0.215063354244852
"CRMA",49.4727590516466,2.02999695710792,0.685910951070694,2.95956341554124,0.00308075288591536,0.0762049294783672
"ENSG00000281732",188.634195519667,2.02750415226365,0.59382545943715,3.41430991218428,0.000639437957968416,0.0341250650991132
"ENSG00000232057",193.061097492967,2.02394864297271,0.553247913635893,3.65830325445153,0.000253890531316864,0.0222549473921363
"ITGB1BP2",25.3113987651236,2.02122427750319,0.522272647309374,3.87005578009122,0.00010881045438271,0.0145397218215482
"ENSG00000286460",39.9752577701535,2.0080026003661,0.633133330752146,3.17153197096834,0.00151637175737256,0.0533174621046868
"CLDN9",52.7542079536949,1.98545062942265,0.763369248843569,2.6009046505743,0.00929782924842706,0.128030726906444
"ADORA2A-AS1",61.846968034571,1.98141391192898,0.708654302934829,2.79602325664732,0.0051735677376917,0.0990384688695135
"GPRC5A",85.1238210067535,1.97242863666463,1.07058816826204,1.84237851224025,0.0654198026545014,0.310381538777836
"LINC01397",18.4172665245606,1.96682617134167,0.681710206553509,2.88513528539533,0.0039124549478987,0.0866564626856715
