"","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"ENSG00000266711",26.5021833553347,4.55820711127208,1.03769899610845,4.39261011947216,1.11997869464687e-05,0.00203667704576911
"ENSG00000227619",30.5804285464135,4.52226868436387,0.955231613195377,4.73421170519711,2.19908099862837e-06,0.000926633269201223
"ENSG00000287593",38.1316426401011,3.14713384800314,1.06168208481044,2.96429024566713,0.00303381990238223,0.0337927718558799
"FER1L6",64.9627670312761,3.08414729350597,0.82823907174093,3.72374040145583,0.000196292769024963,0.00848213694411366
"KCNQ2-AS1",79.6472516931104,3.05379044513807,0.78984414269729,3.86632030302774,0.000110489806744709,0.00643929268898202
"ENSG00000281732",188.634195519667,3.02759828080723,0.65207154576253,4.64304615111946,3.43309626081558e-06,0.000954400760506732
"ENSG00000271959",24.9649084858404,2.99743354441424,0.866512569670606,3.45919222562885,0.000541798084131475,0.0142822254367668
"KRT8P19",25.2020834813344,2.98971772782557,0.744144163888053,4.01765930972932,5.87790960397353e-05,0.00449883296461088
"SLC52A1",50.3307884500856,2.91537686077238,0.821468877613601,3.54898029641934,0.000386726016792737,0.0123006442794356
"DOK7",206.322142284989,2.90942751324016,0.582994675900304,4.99048727803081,6.02271673711441e-07,0.000416186934296712
"RNA5SP389",102.722594510826,2.89142887484842,0.503218038133944,5.74587684807672,9.14458472181724e-09,3.29757444415704e-05
"GREP1",57.4183947036548,2.83804080251325,0.722581951383499,3.92763865341415,8.5783967047523e-05,0.00562268571005797
"PSAPL1",72.1520454163096,2.83306584659338,0.598963894868067,4.72994427688737,2.24581470917301e-06,0.000926633269201223
"ASPG",19.5620073094004,2.82035212834619,0.864126239913887,3.26381956486734,0.00109921144546042,0.0198792745813177
"VTRNA1-1",31.9077680547785,2.80362910428702,0.646527589755706,4.3364415513132,1.44807909759044e-05,0.00228910072250474
"SNORA38B",25.2596874783261,2.79012373033948,0.84132258234005,3.3163542604301,0.000912001409368858,0.0182294761049547
"LINC01098",14.9451929664597,2.77579628584287,1.15929385266261,2.39438540924508,0.0166482446924875,0.0885014262789389
"ENSG00000277011",74.401501941738,2.73740650794567,0.731550726410652,3.74192302614029,0.000182617456030864,0.00822492698614986
"KDM5D",1051.42288146841,2.73264814253734,1.9648730098764,1.39075051100083,0.16430109483794,0.349714511001291
