"","EST","moduleColor","GS.Control","p.GS.Control","MM.darkseagreen4","p.MM.darkseagreen4","MM.purple","p.MM.purple","MM.cyan","p.MM.cyan","MM.maroon","p.MM.maroon","MM.orangered4","p.MM.orangered4","MM.lightyellow","p.MM.lightyellow","MM.midnightblue","p.MM.midnightblue","MM.brown4","p.MM.brown4","MM.bisque4","p.MM.bisque4","MM.yellow4","p.MM.yellow4","MM.white","p.MM.white","MM.lightpink4","p.MM.lightpink4","MM.plum1","p.MM.plum1","MM.navajowhite2","p.MM.navajowhite2","MM.royalblue","p.MM.royalblue","MM.thistle1","p.MM.thistle1","MM.greenyellow","p.MM.greenyellow","MM.darkmagenta","p.MM.darkmagenta","MM.grey","p.MM.grey","MM.honeydew1","p.MM.honeydew1","MM.coral1","p.MM.coral1","MM.darkgreen","p.MM.darkgreen"
"LMNB2","LMNB2","darkseagreen4",-0.848486795984535,2.2746987840509e-06,0.827970701468693,6.59038814884919e-06,0.414503822395411,0.0692012474520043,-0.400569536195067,0.0800835876713386,0.30205764614116,0.195544883666038,-0.470430049733115,0.0363257346846699,-0.513795352342039,0.0204867217302916,-0.205159696388888,0.385553921575163,0.56827456186939,0.00894433624802691,-0.280345508231198,0.231225202882256,0.266900847499332,0.255309188524189,0.240670584133241,0.306717985888384,-0.118462032964992,0.618890213030252,-0.436902376722419,0.0540843008690534,0.207315251491013,0.380471234156281,-0.259560858435545,0.269105306561578,0.0633221717905,0.790842266908053,-0.319807295590363,0.169270988270653,-0.0416628836680424,0.861551172295037,0.269798468075782,0.249988964867433,-0.222285201460147,0.346223947690063,0.180356872050704,0.446706100463322,-0.125321405510897,0.598575385415678
"EHMT2","EHMT2","darkseagreen4",-0.785241028124456,4.10618020776688e-05,0.870563443703678,5.99838221178315e-07,0.297101159912284,0.203343512303009,-0.279127071119514,0.233344768660701,0.272457753803042,0.245169076526157,-0.577758670398696,0.00763236332929602,-0.481545170420366,0.031572390677082,-0.0435700146953781,0.855276207230688,0.61298750385943,0.00405561286117548,-0.207580893113189,0.379847480410957,0.231259324826572,0.326585614254694,0.00341267407496377,0.988607242240873,-0.293418871023784,0.209269405476735,-0.517307955967791,0.0194964776874523,0.120116305655957,0.613965747462295,-0.412850729319713,0.0704307874938603,-0.252355269727948,0.283094643533697,-0.336096423832801,0.147384996391352,0.00710854241600688,0.976271538647365,0.0905133945920973,0.704313130789465,-0.453309975925723,0.04471496802414,0.278524466993458,0.234397681184862,-0.113850017571379,0.63270160172065
"STUB1","STUB1","darkseagreen4",-0.761243593268697,9.68459026047672e-05,0.881949647380437,2.73459755657456e-07,-0.0374641586771411,0.875393763524082,0.0683091198368849,0.774762008062242,0.46963565839718,0.0366856419718006,-0.765331683676796,8.42672030093212e-05,-0.525524409437162,0.0173288048764417,-0.0375582172418938,0.875083269167287,0.416802336406662,0.0675184996486985,-0.410494529742337,0.072211474488394,0.315749951657281,0.17505107891911,0.233313882636959,0.322184603674614,-0.496050196135821,0.0261177563859491,-0.340463954446243,0.141869837497632,-0.24543433352347,0.296947019598288,-0.334034409383406,0.150040164663237,-0.310741920084984,0.182369160343858,0.0520108659320782,0.827608732411559,-0.026301461777874,0.912355089713183,-0.212060771736506,0.3694150691446,-0.252885051368015,0.282051051767342,0.0617841315730879,0.795818412938032,-0.208853489486666,0.376867271759492
"SMARCD3","SMARCD3","darkseagreen4",-0.751123882304848,0.000135128431572589,0.833394489176701,5.04443696008727e-06,0.15427106852805,0.516077825266899,-0.100381882749108,0.673695184896791,0.463402461200438,0.0396067860461086,-0.643688999817043,0.00219566807606501,-0.339027425315583,0.143667596372275,-0.17483216588154,0.460978793701806,0.64207345001745,0.00227139147502922,-0.478074569500932,0.0330009914208768,0.2695755549523,0.250395716016341,0.219783807663841,0.351817636874278,-0.372713668461716,0.105568197764073,-0.464470279217908,0.0390939785992332,-0.203005327333346,0.390671464085353,-0.380573015269715,0.09785160271084,-0.24569715708425,0.296413541896495,-0.0853550489548318,0.720496966093825,-0.0804521188951236,0.735986387847241,-0.11718903345629,0.622690386875286,-0.272814017235688,0.244527915554772,-0.096510854647818,0.685649741609203,-0.266425497561368,0.256188774099328
"RPS6KA4","RPS6KA4","darkseagreen4",-0.74291907422735,0.000175068251313034,0.759224182607202,0.000103633068235646,0.404849578454231,0.0766143584777788,-0.390168481932573,0.0889985575112129,0.438026995231472,0.0533979761907659,-0.336338464968752,0.147075496492507,-0.418272476909767,0.0664584446365104,-0.272173733168696,0.245680994614147,0.467984309161116,0.037442672866793,-0.299909935965542,0.198899144636004,0.050407592594112,0.83284993953713,0.173529653658564,0.464377303504626,0.0210819585296658,0.929701842381395,-0.321861941307348,0.166394403459668,0.149569976093826,0.529097930725962,-0.211746440869062,0.370141700111974,0.0850236363474289,0.721540749571174,-0.153072153446342,0.519383838577262,-0.107636935185585,0.651493556145695,0.1849375035446,0.435049074566985,-0.0627516074992705,0.79268736160731,0.0912708624339877,0.701946724021893,-0.094444607426032,0.692060527467028
"BORCS6","BORCS6","darkseagreen4",-0.734216650921367,0.000228077845400006,0.845945378441597,2.61637555624623e-06,0.237585714960739,0.313147908828028,-0.222678419255931,0.345349357907303,0.2343680679664,0.319940260187913,-0.570063127475776,0.00868379621725948,-0.545239943565285,0.0129071591268011,0.0221192954032538,0.926251632013517,0.414802113851251,0.0689811094118121,-0.10986480514566,0.644731155384092,0.32993666565509,0.155415175425015,0.295924436202204,0.205224934521918,-0.32926806237973,0.156304684047522,-0.489078707527195,0.0286380413887087,0.00127360002915883,0.995748142317457,-0.209154056977236,0.376165321921808,-0.145916053912997,0.539322050677396,-0.279071058175697,0.233442509057727,0.173118464736084,0.465452815132191,0.140320175332299,0.555152958659186,-0.379369333145153,0.0990058933667875,0.258373868243597,0.271379404325635,0.105418822807137,0.658252468326751
"TRPM2","TRPM2","darkseagreen4",-0.733721584067421,0.000231466295204689,0.801352950099093,2.16848766357387e-05,0.215693356398408,0.361076657138477,-0.188070263573536,0.427170087414067,0.417230835053286,0.067208225079757,-0.608981500492506,0.00437387090217554,-0.437362422632403,0.0538027394564484,-0.142159467004289,0.549926735550203,0.571829941443753,0.00843253315426962,-0.414694225319063,0.0690606700395348,0.18214974467299,0.44212428876964,0.0661060975020042,0.78185511289615,-0.224838089956272,0.340568831355533,-0.499969560084008,0.024779734206672,-0.0855994574229293,0.719727506739528,-0.336442582804966,0.146942499933116,-0.107591562791049,0.651631552790494,-0.134065343116301,0.573089458287863,-0.00794657320846748,0.973475066912277,0.0458093436182674,0.847918911646606,-0.250322221823177,0.287121601295542,-0.00346179316437645,0.9884432751106,-0.242022848288369,0.303924795544082
"TTC9B","TTC9B","darkseagreen4",-0.68518631257005,0.000856615867785075,0.866483734744755,7.80876816035535e-07,-0.0602703516362736,0.800723490376606,0.138347568579936,0.560782499650711,0.450983903840392,0.045961125904973,-0.717054849508138,0.000373604095769146,-0.269825023316482,0.249940537457616,-0.130110262731549,0.584559014474316,0.646644940660116,0.00206257533476224,-0.565491872891921,0.009362324361613,0.306867397992192,0.188171097767096,0.205112404093122,0.385665857363556,-0.587239821996272,0.00648246724029306,-0.333416751235383,0.150841940143647,-0.242340188586365,0.303271552480866,-0.599411095047848,0.00521850980189583,-0.452429067646809,0.0451838020660354,0.00780287657845166,0.973954555923785,-0.269846841996156,0.249900752348325,-0.295217327864937,0.206361047117385,-0.310926661228493,0.18209558131576,-0.00376560345334894,0.98742911945373,-0.474841079032891,0.0343769743977547
"CDC34","CDC34","darkseagreen4",-0.684001068903716,0.000881751408898823,0.738805408546952,0.000198635640242871,0.050837444902936,0.831444048051656,-0.0353127615399222,0.882500386807519,0.305074707415268,0.190897201742374,-0.704558021147285,0.000523806585943452,-0.463427920027023,0.039594499399099,-0.0257547735677696,0.914170323702947,0.417320194012114,0.0671436557835606,-0.343357536740634,0.138296671775642,0.417881085298254,0.0667394292985927,0.105330848020926,0.658521071552341,-0.376846696159908,0.101457162033096,-0.424607002559353,0.062033512195117,-0.168403249372602,0.477875890867148,-0.221459151824195,0.348065429298242,-0.228668047673105,0.33218691538745,-0.108292409310177,0.649501201148532,0.085022476580626,0.721544403088321,-0.0918299286748063,0.700201835131654,-0.288125400267061,0.217986537518897,0.015457179206621,0.948429525470293,-0.201031460274676,0.39539314805515
"HDGFL2","HDGFL2","darkseagreen4",-0.679230164896093,0.000989326900011812,0.84941670358275,2.15979110898581e-06,0.126133665343834,0.596188216884676,-0.0989209397905157,0.678198227475068,0.258343232222998,0.271438257118774,-0.464195415095308,0.0392254841963813,-0.438120421337409,0.0533412609495263,-0.0483613745309199,0.839549010452273,0.48564346816299,0.0299482591215756,-0.238906602343905,0.310384873844211,0.106841173630548,0.65391538232929,0.100821556911268,0.672342064772917,-0.244732688248943,0.298374086294839,-0.367293682760206,0.111140513170772,0.107924726076574,0.650618516509246,-0.435138765431647,0.0551740947069881,-0.220335446602465,0.35057957574453,-0.211644867060716,0.370376679106554,-0.142479587061349,0.549019405305198,0.0842182462910412,0.724079297079875,-0.324345213721741,0.162962763932579,0.318976243833348,0.170444111078694,-0.199160125302924,0.399898511034138
"NUDT3","NUDT3","darkseagreen4",-0.672554773517952,0.00115827849804747,0.906820101739102,3.57155941771194e-08,0.103232911817295,0.664938324705241,-0.0630035467920881,0.791872507191722,0.314870267479782,0.17632180236463,-0.616009430274374,0.00382843122287069,-0.415628568680308,0.0683739327000175,0.0150953577432722,0.949635202370086,0.580119910799178,0.0073314900287815,-0.266723808384162,0.255636556542514,0.250003793504804,0.287755510805285,0.015606779750458,0.947931051550981,-0.383710080299629,0.094889447399841,-0.473312628718714,0.0350427698508884,-0.0929682710657613,0.696653455103715,-0.470926716585597,0.0361021141391548,-0.387313389597156,0.0915686233052497,-0.199962972258197,0.397962160165277,-0.0211398526914123,0.929509252465129,-0.0617705125594777,0.79586250984847,-0.466971885819181,0.0379127656862781,0.235151964709866,0.318277429403373,-0.191618528202287,0.418338665831679
