"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"ENSG00000228153","1",29.8290743267117,2.10936467814605,0.556524159519958,3.79024817173352,0.000150496844710086,0.0133330281544254,"UP",204663872,204664613,"+",52.7,445,NA,"novel transcript"
"C1QTNF12","1",24.0089637714998,2.05159872547998,0.630514865899363,3.25384671549907,0.00113853695520948,0.0389133603928252,"UP",1242446,1246722,"-",69.35,682,NA,"C1q and TNF related 12"
"PDCL3P6","1",38.9080324206493,1.58642929747464,0.435266069104625,3.6447345889792,0.000267667888272199,0.0180535037118525,"UP",52179848,52180553,"+",44.76,706,NA,"PDCL3 pseudogene 6"
"GPR153","1",581.834451468947,1.51323299271839,0.329481178504872,4.59277522189635,4.37390101038012e-06,0.00179300287859413,"UP",6247353,6261098,"-",60.53,4198,1830,"G protein-coupled receptor 153"
"KAZN-AS1","1",122.605588437682,1.39698469965159,0.381841927878073,3.65854191920397,0.000253654256430113,0.0175609757164329,"UP",14338825,14419973,"-",42.04,1299,NA,"KAZN antisense RNA 1"
"ECE1-AS1","1",43.1305064408892,1.35822350550767,0.4303132676211,3.15635981436579,0.00159751657965304,0.0463279808099381,"UP",21293290,21299874,"+",51.31,2479,NA,"ECE1 antisense RNA 1"
"ENSG00000236390","1",50.8708759070886,1.34244708173973,0.398123764770223,3.37193405802974,0.00074642317497871,0.0317779581079817,"UP",201673105,201674144,"-",49.52,579,NA,"novel transcript"
"GRIK3","1",2117.00714850676,1.23631763619349,0.332455281410177,3.71874867184964,0.000200212132565133,0.0156709729392243,"UP",36795527,37034515,"-",49.63,9491,2760,"glutamate ionotropic receptor kainate type subunit 3"
"HS6ST1P1","1",605.758418800191,1.21838325300701,0.214768126290968,5.67301710010891,1.40304218314114e-08,0.00015875869533377,"UP",21428303,21429536,"+",67.1,1234,NA,"heparan sulfate 6-O-sulfotransferase 1 pseudogene 1"
"ENSG00000272906","1",35.9332048957707,1.17471876818799,0.338036905723715,3.47511987092945,0.000510625119952679,0.0259279648040477,"UP",179881607,179882703,"-",55.33,1097,NA,"novel transcript, antisense to TOR1AIP1"
"CNKSR1","1",148.957019328137,1.1472814510487,0.362310268008857,3.16657172691738,0.00154247301059837,0.0456066653231446,"UP",26177484,26189884,"+",55.16,865,192,"connector enhancer of kinase suppressor of Ras 1"
"TAS1R3","1",137.40818356281,1.13451405625236,0.358843354297894,3.16158580802515,0.00156912579844757,0.0458522929723255,"UP",1331280,1335314,"+",66.64,3475,2559,"taste 1 receptor member 3"
"HIVEP3","1",3431.11141514746,1.03510222967639,0.229177925277686,4.51658783638168,6.2844056194409e-06,0.00223521521046761,"UP",41506365,42035925,"-",46.45,12216,7218,"HIVEP zinc finger 3"
"GJA4","1",248.297801857634,1.02134299423303,0.326350636980963,3.12958786807149,0.00175051709958704,0.0484971438380437,"UP",34792999,34795747,"+",59.33,1621,1002,"gap junction protein alpha 4"
"ENSG00000289610","1",56.7320629852536,1.01225924111251,0.310867886634365,3.25623612033976,0.00112899819798474,0.0389034835948176,"UP",2585590,2586283,"+",64.55,694,NA,"novel transcript"
"ENSG00000280222","1",347.097515702986,1.00962216475265,0.323026547122028,3.12550833282211,0.00177498041163961,0.0490064797213648,"UP",18109389,18115861,"+",54.4,6473,NA,"TEC"
"ENSG00000231606","1",81.4494745848675,0.955856035360716,0.280543757496077,3.40715489053105,0.000656438637064331,0.0292926658229482,"UP",14221887,14304445,"-",42.3,1239,NA,"novel transcript"
"ENSG00000288398","1",521.870252007102,0.947836196613658,0.228447031169608,4.14904142882008,3.33870389947383e-05,0.00593749209652016,"UP",16228674,16231335,"-",56.35,2662,NA,"novel transcript"
"PDE4B-AS1","1",88.5565766625868,0.915560205813641,0.25005207325041,3.66147816297756,0.000250764238329629,0.0174783396779263,"UP",66042500,66050718,"-",35.38,456,NA,"PDE4B antisense RNA 1"
"ENSG00000289612","1",84.4557188078178,0.915332749752734,0.293610995263943,3.11750160762845,0.00182390951989935,0.0495457784307664,"UP",107140235,107140802,"+",52.82,568,NA,"novel transcript, sense intronic to NTNG1"
"FAM43B","1",607.34895463848,0.878532393640824,0.256945543042636,3.41913848061978,0.000628197470505489,0.028346238846354,"UP",20552573,20555020,"+",67.65,2448,990,"family with sequence similarity 43 member B"
"SEMA6C","1",810.895644959543,0.853180617994748,0.201162248817755,4.24125611544388,2.22272324811631e-05,0.004594767904183,"UP",151131685,151146631,"-",57.43,3817,2889,"semaphorin 6C"
"KIF21B","1",8651.96447304783,0.851510157832245,0.241296698701877,3.52889269688803,0.000417302298202335,0.0230430899185426,"UP",200969390,201023714,"-",55.01,9897,4875,"kinesin family member 21B"
"FAM131C","1",343.529305286331,0.827836801194337,0.212939319513458,3.88766528927513,0.000101213063214316,0.0105061765961435,"UP",16057769,16073651,"-",57.98,1720,843,"family with sequence similarity 131 member C"
"LINC02918","1",135.65712634404,0.808402121076343,0.228696497761197,3.53482510222115,0.000408045142329016,0.0228448606767814,"UP",43937896,43946659,"-",49.24,2224,NA,"long intergenic non-protein coding RNA 2918"
"C2CD4D","1",322.990142242002,0.806570396166865,0.24222986970871,3.32977265411898,0.000869169202097029,0.0346321685698826,"UP",151837818,151840557,"-",66.28,1560,1062,"C2 calcium dependent domain containing 4D"
"CPLANE2","1",268.605324156014,0.806273710772993,0.172501077765271,4.6740212943488,2.95358687535013e-06,0.00151990323760039,"UP",16231692,16237183,"-",54.1,1574,777,"ciliogenesis and planar polarity effector complex subunit 2"
"DENND4B","1",3381.90730157359,0.782046504107413,0.191681130070485,4.079934753201,4.50483434017769e-05,0.00668265413987124,"UP",153929501,153946718,"-",56.5,2530,NA,"DENN domain containing 4B"
"MAP3K6","1",711.628650130649,0.744297911616559,0.228531446386178,3.25687306226919,0.00112646795991893,0.0389034835948176,"UP",27355184,27366961,"-",60.83,444,248,"mitogen-activated protein kinase kinase kinase 6"
"EFHD2","1",5007.19765838669,0.715147187125422,0.222131015308426,3.21948371834725,0.00128421653302108,0.0416908539320174,"UP",15409888,15430339,"+",56.77,2422,723,"EF-hand domain family member D2"
"ARHGEF10L","1",2948.03717648085,0.70416875621973,0.136653509351145,5.15295040400533,2.56419798343781e-07,0.000458740323831928,"UP",17539698,17697874,"+",54.39,4625,3840,"Rho guanine nucleotide exchange factor 10 like"
"DVL1","1",4399.90919063904,0.701156408997223,0.198512310703149,3.5320550474359,0.000412343509896775,0.0228533637522651,"UP",1335276,1349418,"-",66.32,2926,2013,"dishevelled segment polarity protein 1"
"RRAGC-DT","1",263.756328310316,0.679684828570658,0.186090327521434,3.65244576450311,0.000259754469200056,0.0176966315810369,"UP",38859886,38965038,"+",44.66,630,NA,"RRAGC divergent transcript"
"SKI","1",10951.4274850095,0.671355706824052,0.187139493404653,3.58746138834723,0.000333913160491711,0.0204456296193735,"UP",2227388,2310213,"+",57.89,448,NA,"SKI proto-oncogene"
"PLEKHA6","1",6905.50690450157,0.577297642719072,0.174286150771891,3.31235522823984,0.000925139941193055,0.0358580682975885,"UP",204218853,204378214,"-",48.98,7476,3147,"pleckstrin homology domain containing A6"
"FAAP20","1",1062.79334616097,0.564204170467818,0.165914333760317,3.40057521059559,0.000672442345668205,0.0298416340776719,"UP",2184461,2212720,"-",60.96,1413,570,"FA core complex associated protein 20"
"MIB2","1",3153.11387518941,0.562513556347862,0.180306256865058,3.11976725671173,0.00180993987546653,0.0494076815214825,"UP",1615454,1630605,"+",66.39,4247,NA,"MIB E3 ubiquitin protein ligase 2"
"PLXNA2","1",8731.81788265753,0.526484698688262,0.139964000756066,3.76157223174719,0.000168848643994782,0.0142188784644458,"UP",208022242,208244384,"-",47.99,11508,5685,"plexin A2"
"EGLN1","1",3795.85148585209,0.507164711254621,0.154160016648673,3.2898589548705,0.00100237614179026,0.037435526863645,"UP",231363751,231422287,"-",39.6,3108,342,"egl-9 family hypoxia inducible factor 1"
"TMEM240","1",519.291797832238,0.481131427601124,0.112790343861414,4.26571469799126,1.992632859319e-05,0.00427453166039154,"UP",1534778,1540624,"-",66.8,1381,522,"transmembrane protein 240"
