"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"ENSG00000286198","1",50.1518850193397,2.09439346369903,0.459154539878096,4.56141294879734,5.08105410008358e-06,0.00409165680744928,"UP",208244960,208270667,"-",43.95,1290,NA,"novel transcript"
"PCP4L1","1",450.237786330429,1.64035701529663,0.427835162418069,3.8340864879491,0.000126031794767566,0.0272678606805564,"UP",161258745,161285450,"+",45.8,1406,207,"Purkinje cell protein 4 like 1"
"GRIK3","1",2117.00714850676,1.51274466922528,0.386230504144397,3.91668874672759,8.97735339186871e-05,0.0233469106597566,"UP",36795527,37034515,"-",49.63,9491,2760,"glutamate ionotropic receptor kainate type subunit 3"
"HS6ST1P1","1",605.758418800191,1.13022072293959,0.263919297808474,4.28244820414682,1.84848169418792e-05,0.00843535438785453,"UP",21428303,21429536,"+",67.1,1234,NA,"heparan sulfate 6-O-sulfotransferase 1 pseudogene 1"
"TRNP1","1",777.741938574233,0.796410326208981,0.197760590056371,4.02714375994715,5.64585154573311e-05,0.0171953100766108,"UP",26993692,27001912,"+",55.43,1961,684,"TMF1 regulated nuclear protein 1"
"ARHGEF10L","1",2948.03717648085,0.621196640615069,0.167233214175944,3.71455301912404,0.00020356318848127,0.0346716850465351,"UP",17539698,17697874,"+",54.39,4625,3840,"Rho guanine nucleotide exchange factor 10 like"
"ENSG00000272668","1",349.128563046978,-1.07122273747939,0.25946558416097,-4.1285735098294,3.65020745250223e-05,0.0126656369945081,"DOWN",159854870,159892740,"+",49.51,7134,NA,"novel transcript, antisense to VSIG8"
"RPRM","2",196.87760221762,1.90592987786523,0.475115126694798,4.01151167533664,6.0331192774523e-05,0.0171953100766108,"UP",153477338,153478762,"-",59.23,1425,330,"reprimo, TP53 dependent G2 arrest mediator homolog"
"CYP26B1","2",1003.04696028777,1.55108488093704,0.4113196308319,3.77099648222465,0.000162596965447742,0.030965119734796,"UP",72129238,72147862,"-",59.85,4556,1539,"cytochrome P450 family 26 subfamily B member 1"
"KCNK3","2",337.834891429842,1.18755513529425,0.331584427409161,3.58145629628394,0.000341684300861345,0.043957321811875,"UP",26692722,26733420,"+",53.75,6191,1185,"potassium two pore domain channel subfamily K member 3"
"OSGEPL1","2",294.08558666383,-0.598551026795251,0.169170457822462,-3.53815337795803,0.000402935928525418,0.0497214712618151,"DOWN",189746660,189763227,"-",39.12,1910,1245,"O-sialoglycoprotein endopeptidase like 1"
"OSR1","2",141.437662650101,-2.38200422737574,0.655451357542234,-3.634143403574,0.000278905711304258,0.040392895410807,"DOWN",19351485,19358623,"-",55.71,1906,801,"odd-skipped related transcription factor 1"
"COL6A4P2","3",37.6939046329616,3.19619981027289,0.60733810142273,5.26263674678993,1.42003971227077e-07,0.000293495478553793,"UP",130212823,130273327,"+",39.27,2753,NA,"collagen type VI alpha 4 pseudogene 2"
"TRH","3",51.6667148890983,1.74455251594557,0.488081112062555,3.57430859918623,0.00035115457508164,0.0447001292259187,"UP",129974688,129977935,"+",59.3,1580,717,"thyrotropin releasing hormone"
"GRIP2","3",552.08973558693,1.06591013858706,0.296482176182089,3.59519129383488,0.00032415330358974,0.0429385396995739,"UP",14489107,14556075,"-",52.35,7724,3132,"glutamate receptor interacting protein 2"
"CACNA2D2","3",920.466152304655,0.971997384870528,0.253545607270386,3.83361950275861,0.000126271413058063,0.0272678606805564,"UP",50362613,50504244,"-",56.51,5696,3432,"calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"ADCY5","3",4995.83209605101,0.789208064440665,0.20696839818327,3.81318148745502,0.000137189294264531,0.0281046095269849,"UP",123282296,123449090,"-",51.17,6643,3948,"adenylate cyclase 5"
"PRRT3-AS1","3",24.8642299736429,-1.52688471275763,0.399735090961018,-3.81974149201359,0.000133591609936158,0.027853850671689,"DOWN",9947319,9954793,"+",54.21,667,NA,"PRRT3 antisense RNA 1"
"GHSR","3",87.8382360984061,-4.24501698705222,1.10184383103073,-3.85264850380944,0.000116847066799552,0.026377528165332,"DOWN",172443291,172448456,"-",39.93,3014,1101,"growth hormone secretagogue receptor"
"TNIP2","4",916.885796149196,0.97052808837548,0.254065140106199,3.81999706047749,0.000133453264508897,0.027853850671689,"UP",2741648,2756342,"-",53.99,2006,969,"TNFAIP3 interacting protein 2"
"ING2-DT","4",141.961576622803,0.750649056880472,0.203987362181832,3.67988020851681,0.000233343542623626,0.0368568058514062,"UP",183462402,183505777,"-",43.37,757,NA,"ING2 divergent transcript"
"ZNF141","4",1519.83064281717,-0.416648210010662,0.115939755576648,-3.5936612763964,0.000326063668091502,0.0429385396995739,"DOWN",337814,384868,"+",40.31,536,NA,"zinc finger protein 141"
"CEP44","4",629.057912570277,-0.540826430849205,0.139161936968171,-3.8863100258004,0.000101779508018035,0.0248959238245802,"DOWN",174283730,174333380,"+",35.65,600,336,"centrosomal protein 44"
"DCAF16","4",1395.47398551656,-0.607242769916,0.168008243861005,-3.61436293815664,0.000301087044420649,0.0418566739412676,"DOWN",17793446,17810758,"-",38.69,2633,NA,"DDB1 and CUL4 associated factor 16"
"ENSG00000287292","4",123.329878885306,-0.873348244557495,0.216079531414398,-4.04179071863398,5.3044564554406e-05,0.0168807347146429,"DOWN",148442685,149024624,"+",37.72,2564,NA,"novel transcript"
"ABCG2","4",1569.56352200354,-1.44768249757871,0.284528277769616,-5.08800920923195,3.61841803699844e-07,0.000460605571804444,"DOWN",88090150,88231628,"-",41.38,4844,1968,"ATP binding cassette subfamily G member 2 (JR blood group)"
"ENSG00000251410","4",53.7456068563179,-2.12866237068374,0.596196366926456,-3.57040480078323,0.00035642997888864,0.045134112405239,"DOWN",27964517,27985063,"-",40.67,600,NA,"novel transcript"
"MMRN1","4",126.26012278895,-2.17471157470645,0.397225655704338,-5.47475104761391,4.3812711112271e-08,0.000136957648709437,"DOWN",89879532,89954629,"+",33.75,5217,3687,"multimerin 1"
