"","ID","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"HS6ST1P1","HS6ST1P1","1",605.758418800191,1.34202054676663,0.288383648537771,4.65359445159685,3.2619807754675e-06,0.00093922389999178,"UP",21428303,21429536,"+",67.1,1234,NA,"heparan sulfate 6-O-sulfotransferase 1 pseudogene 1"
"ARHGEF10L","ARHGEF10L","1",2948.03717648085,0.768473848157834,0.182892351302412,4.20178231995697,2.64821717896719e-05,0.0033015350871392,"UP",17539698,17697874,"+",54.39,4625,3840,"Rho guanine nucleotide exchange factor 10 like"
"ADCY5","ADCY5","3",4995.83209605101,0.70984764400512,0.226442445446083,3.13478174379696,0.00171982015310071,0.0248500190140332,"UP",123282296,123449090,"-",51.17,6643,3948,"adenylate cyclase 5"
"N4BP3","N4BP3","5",477.454944056012,1.52136723788315,0.254843630984256,5.96980678703773,2.37534714995399e-09,1.91500487229291e-05,"UP",178113532,178127034,"+",59.62,5985,1635,"NEDD4 binding protein 3"
"EHMT2","EHMT2","6",4241.70475526908,0.413426778653021,0.128342868029202,3.22126803772964,0.00127624727162365,0.0212878044906824,"UP",31879759,31897698,"-",53.84,1517,NA,"euchromatic histone lysine methyltransferase 2"
"FZD9","FZD9","7",231.378478889867,1.56019715028972,0.323110409118181,4.82868117603438,1.37440253436129e-06,0.000678393871348209,"UP",73433778,73436120,"+",68.46,2343,1776,"frizzled class receptor 9"
"SH2B2","SH2B2","7",269.73136594744,1.20812515412531,0.306738769411014,3.9386125087647,8.19541625077762e-05,0.00556613767873986,"UP",102285091,102321711,"+",56.99,490,144,"SH2B adaptor protein 2"
"SSPOP","SSPOP","7",740.811130020342,1.00090036707913,0.285132147102332,3.51030347595254,0.000447595533430747,0.0132301477836731,"UP",149776042,149833829,"+",61.02,15799,NA,"SCO-spondin, pseudogene"
"SMARCD3","SMARCD3","7",3419.23601993442,0.407169860389131,0.141669073187143,2.87409136820755,0.00405191724936849,0.0401967475772052,"UP",151238764,151277896,"-",56.14,468,NA,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3"
"ENSG00000227619","ENSG00000227619","9",30.5804285464135,4.52226868436387,0.955231613195377,4.73421170519711,2.19908099862837e-06,0.000926633269201223,"UP",129575117,129584557,"+",53.72,1860,NA,"novel transcript"
"RALGDS","RALGDS","9",2600.29645730939,0.981955184843847,0.269753286118798,3.6401973038853,0.000272429204745731,0.0103275434889973,"UP",133097720,133149334,"-",58.92,5596,NA,"ral guanine nucleotide dissociation stimulator"
"NELFB","NELFB","9",2813.65320422501,0.432510444366685,0.12368821852756,3.49677964090262,0.000470910647127297,0.013542740679454,"UP",137255327,137273542,"+",56.43,2540,1887,"negative elongation factor complex member B"
"SYT15","SYT15","10",171.890719955439,1.98182784048948,0.338095557884305,5.86173877258586,4.58045222183279e-09,2.21565634874496e-05,"UP",46578217,46594173,"+",52.37,6428,1425,"synaptotagmin 15"
"PHRF1","PHRF1","11",5503.22747951407,0.667980843388242,0.14621276820313,4.56855342797581,4.9110188987167e-06,0.00118153523631192,"UP",576470,612222,"+",56.31,5278,4947,"PHD and ring finger domains 1"
"SPIRE2","SPIRE2","16",1371.08491891904,0.839820313329562,0.202132323791262,4.15480462292031,3.25565612559843e-05,0.00361355354089549,"UP",89818179,89871319,"+",54.79,663,NA,"spire type actin nucleation factor 2"
"DEF8","DEF8","16",3522.70585898589,0.588376626580622,0.1467034571766,4.01065276786451,6.05511064964336e-05,0.00459087480163869,"UP",89948697,89968060,"+",56.83,3620,1356,"differentially expressed in FDCP 8 homolog"
"CACNA1G","CACNA1G","17",1163.7662068222,1.39838324875184,0.483852649867961,2.89010145781665,0.00385117510607863,0.0390662641247067,"UP",50560715,50627474,"+",56.94,7497,6786,"calcium voltage-gated channel subunit alpha1 G"
"BAHCC1","BAHCC1","17",3374.50163667184,1.18979296243441,0.253543940255085,4.69264996527776,2.69688705143941e-06,0.00093922389999178,"UP",81395457,81466331,"+",63.19,10726,7827,"BAH domain and coiled-coil containing 1"
"GPS2","GPS2","17",429.475558619041,0.82767243705571,0.251381101456013,3.2925006385197,0.000993006723446737,0.0190236900414978,"UP",7311324,7315564,"-",56.28,1238,983,"G protein pathway suppressor 2"
"GRIN2D","GRIN2D","19",502.246035159826,1.07929667919455,0.314327436052194,3.4336699740564,0.000595468726531207,0.0148261492395476,"UP",48393668,48444931,"+",52.92,5511,4011,"glutamate ionotropic receptor NMDA type subunit 2D"
"TPGS1","TPGS1","19",534.468234488944,0.937040155288678,0.203156259687043,4.61241094284846,3.98025096809415e-06,0.0010578719770805,"UP",507497,519654,"+",61.72,1114,873,"tubulin polyglutamylase complex subunit 1"
"TTC9B","TTC9B","19",1589.83200316543,0.781120902239921,0.277851370137967,2.81129044586699,0.00493432211986439,0.0447978659125526,"UP",40216058,40218384,"-",63.9,828,720,"tetratricopeptide repeat domain 9B"
"ZNF653","ZNF653","19",577.292488856275,0.62092125812395,0.192464326457348,3.22616284042411,0.00125461953369602,0.0212002745303878,"UP",11483427,11505839,"-",55.65,674,652,"zinc finger protein 653"
"SPTBN4","SPTBN4","19",10656.9917160328,0.566424644408877,0.183770260040574,3.08224325461486,0.00205446873279556,0.0275447394582679,"UP",40466241,40576464,"+",51.05,6105,6009,"spectrin beta, non-erythrocytic 4"
"CACTIN","CACTIN","19",1638.51167719066,0.553652460905293,0.152224630333518,3.6370754173767,0.000275751211630218,0.0103400291542457,"UP",3610645,3626815,"-",61.59,699,354,"cactin, spliceosome C complex subunit"
"LMNB2","LMNB2","19",2318.55181741105,0.530290784995673,0.135183481155389,3.92274840434181,8.75445577863163e-05,0.00569180826510711,"UP",2427638,2456959,"-",59.73,769,NA,"lamin B2"
"TRPM2","TRPM2","21",3597.06826181143,0.672019870701238,0.18075730491022,3.71780200548476,0.000200963673277005,0.00853982260855273,"UP",44350163,44443081,"+",54.13,5989,4512,"transient receptor potential cation channel subfamily M member 2"
"PRR5","PRR5","22",396.677055246353,1.19837382561106,0.191386633088949,6.26153355785355,3.81209758879975e-10,9.21993922827108e-06,"UP",44668547,44737681,"+",56.73,1726,882,"proline rich 5"
"HIRA","HIRA","22",1049.93396263827,0.735197040238875,0.165957350459261,4.43003601952148,9.42173502045523e-06,0.00183769421939299,"UP",19330698,19447450,"-",46.11,3395,2433,"histone cell cycle regulator"
