"","ID","ensembl_gene_id","entrezgene_id","chromosome_name","start_position","end_position","strand","percentage_gene_gc_content","description","transcript_length","cds_length"
"1413","ARHGEF10L","ENSG00000074964",55160,"1",17539698,17697874,"+",54.39,"Rho guanine nucleotide exchange factor 10 like",4625,3840
"29611","HS6ST1P1","ENSG00000187952",NA,"1",21428303,21429536,"+",67.1,"heparan sulfate 6-O-sulfotransferase 1 pseudogene 1",1234,NA
"53280","SYT15","ENSG00000204176",83849,"10",46578217,46594173,"+",52.37,"synaptotagmin 15",6428,1425
"1363","ARHGAP19","ENSG00000213390",84986,"10",97222173,97292673,"-",42.77,"Rho GTPase activating protein 19",5525,902
"42060","PHRF1","ENSG00000070047",57661,"11",576470,612222,"+",56.31,"PHD and ring finger domains 1",5278,4947
"1737","ATF7IP","ENSG00000171681",55729,"12",14365676,14502931,"+",36.09,"activating transcription factor 7 interacting protein",2298,NA
"1453","ARID2","ENSG00000189079",196528,"12",45729706,45908040,"+",36.08,"AT-rich interaction domain 2",735,NA
"37492","MIS18BP1","ENSG00000129534",55320,"14",45203190,45253540,"-",37.65,"MIS18 binding protein 1",4577,3399
"52582","SPIRE2","ENSG00000204991",84501,"16",89818179,89871319,"+",54.79,"spire type actin nucleation factor 2",663,NA
"6021","DEF8","ENSG00000140995",54849,"16",89948697,89968060,"+",56.83,"differentially expressed in FDCP 8 homolog",3620,1356
"28264","GPS2","ENSG00000132522",2874,"17",7311324,7315564,"-",56.28,"G protein pathway suppressor 2",1238,983
"3030","CACNA1G","ENSG00000006283",8913,"17",50560715,50627474,"+",56.94,"calcium voltage-gated channel subunit alpha1 G",7497,6786
"2092","BAHCC1","ENSG00000266074",57597,"17",81395457,81466331,"+",63.19,"BAH domain and coiled-coil containing 1",10726,7827
"54698","TPGS1","ENSG00000141933",91978,"19",507497,519654,"+",61.72,"tubulin polyglutamylase complex subunit 1",1114,873
"34411","LMNB2","ENSG00000176619",84823,"19",2427638,2456959,"-",59.73,"lamin B2",769,NA
"3054","CACTIN","ENSG00000105298",58509,"19",3610645,3626815,"-",61.59,"cactin, spliceosome C complex subunit",699,354
"57300","ZNF121","ENSG00000197961",7675,"19",9560329,9584504,"-",41.93,"zinc finger protein 121",7177,1173
"57731","ZNF653","ENSG00000161914",115950,"19",11483427,11505839,"-",55.65,"zinc finger protein 653",674,652
"5722","CYP4F3","ENSG00000186529",4051,"19",15640897,15662825,"+",45.74,"cytochrome P450 family 4 subfamily F member 3",2078,NA
"57523","ZNF43","ENSG00000198521",7594,"19",21804946,21852125,"-",41.77,"zinc finger protein 43",5584,2412
"55481","TTC9B","ENSG00000174521",148014,"19",40216058,40218384,"-",63.9,"tetratricopeptide repeat domain 9B",828,720
"52647","SPTBN4","ENSG00000160460",57731,"19",40466241,40576464,"+",51.05,"spectrin beta, non-erythrocytic 4",6105,6009
"28336","GRIN2D","ENSG00000105464",2906,"19",48393668,48444931,"+",52.92,"glutamate ionotropic receptor NMDA type subunit 2D",5511,4011
"57699","ZNF615","ENSG00000197619",284370,"19",51991332,52008230,"-",39.06,"zinc finger protein 615",4094,2196
"55293","TRPM2","ENSG00000142185",7226,"21",44350163,44443081,"+",54.13,"transient receptor potential cation channel subfamily M member 2",5989,4512
