Geneid;Chr;Start;End;Strand;Length;Description
5_8S_rRNA;chr14;16057472;16057622;+;1369;NA
5S_rRNA;chr1;182944365;182944490;-;1140;NA
7SK;chr1;120228046;120228295;-;1870;NA
A1BG;chr19;58345178;58347029;-;3999;alpha-1-B glycoprotein
A1BG-AS1;chr19;58347718;58347844;+;3374;A1BG antisense RNA 1
A1CF;chr10;50799409;50806880;-;9603;APOBEC1 complementation factor
A2M;chr12;9067664;9067812;-;6318;alpha-2-macroglobulin
A2M-AS1;chr12;9065163;9065228;+;2948;A2M antisense RNA 1
A2ML1;chr12;8822621;8822713;+;7156;alpha-2-macroglobulin like 1
A2ML1-AS1;chr12;8776219;8776384;-;452;A2ML1 antisense RNA 1
A2MP1;chr12;9228533;9228698;-;4657;alpha-2-macroglobulin pseudogene 1
A3GALT2;chr1;33306766;33307453;-;1023;alpha 1,3-galactosyltransferase 2
A4GALT;chr22;42692121;42693997;-;3358;alpha 1,4-galactosyltransferase (P blood group)
A4GNT;chr3;138123713;138124878;-;1779;alpha-1,4-N-acetylglucosaminyltransferase
AA06;chr17;33529787;33530198;-;632;uncharacterized LOC100506677
AAAS;chr12;53307456;53307713;-;4727;aladin WD repeat nucleoporin
AACS;chr12;125065434;125065717;+;16039;acetoacetyl-CoA synthetase
AACSP1;chr5;178764861;178766175;-;3380;acetoacetyl-CoA synthetase pseudogene 1
AADACL2;chr3;151733916;151734173;+;5071;arylacetamide deacetylase like 2
AADACL3;chr1;12716110;12716344;+;4055;arylacetamide deacetylase like 3
AADACP1;chr3;151770396;151770611;+;2095;arylacetamide deacetylase pseudogene 1
AADAT;chr4;170060222;170060969;-;2970;aminoadipate aminotransferase
AAGAB;chr15;67200667;67202898;-;4138;alpha and gamma adaptin binding protein
AAK1;chr2;69457997;69475963;-;24843;AP2 associated kinase 1
AAMDC;chr11;77821109;77821180;+;1936;adipogenesis associated Mth938 domain containing
AAMP;chr2;218264129;218264608;-;3055;angio associated migratory cell protein
AANAT;chr17;76453351;76453782;+;2156;aralkylamine N-acetyltransferase
AAR2;chr20;36236131;36236782;+;7291;AAR2 splicing factor
AARD;chr8;116938207;116938567;+;2404;alanine and arginine rich domain containing protein
AARS1;chr16;70251983;70252906;-;10248;alanyl-tRNA synthetase 1
AARS2;chr6;44298731;44300711;-;5242;alanyl-tRNA synthetase 2, mitochondrial
AARSD1;chr17;42950526;42950728;-;3704;alanyl-tRNA synthetase domain containing 1
AARSD1P1;chrX;74069276;74070057;+;1182;AARSD1 pseudogene 1
AASDH;chr4;56338287;56338791;-;4654;aminoadipate-semialdehyde dehydrogenase
AASDHPPT;chr11;106075501;106075576;+;6003;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS;chr7;122064583;122064650;-;10816;aminoadipate-semialdehyde synthase
AATBC;chr21;43805758;43806588;-;4874;apoptosis associated transcript in bladder cancer
AATF;chr17;36948925;36949216;+;12155;apoptosis antagonizing transcription factor
AATK;chr17;81110487;81118442;-;13177;apoptosis associated tyrosine kinase
ABALON;chr20;31721507;31723409;+;1903;apoptotic BCL2L1-antisense long non-coding RNA
ABAT;chr16;8674596;8674711;+;9713;4-aminobutyrate aminotransferase
ABCA1;chr9;104781006;104784455;-;11343;ATP binding cassette subfamily A member 1
ABCA10;chr17;69147214;69147440;-;8405;ATP binding cassette subfamily A member 10
ABCA11P;chr4;425435;426973;-;2790;ATP binding cassette subfamily A member 11, pseudogene
ABCA12;chr2;214931542;214932741;-;9614;ATP binding cassette subfamily A member 12
ABCA13;chr7;48171458;48171552;+;19075;ATP binding cassette subfamily A member 13
ABCA17P;chr16;2339150;2339331;+;6574;ATP binding cassette subfamily A member 17, pseudogene
ABCA2;chr9;137007234;137007964;-;11500;ATP binding cassette subfamily A member 2
ABCA3;chr16;2275881;2276805;-;7804;ATP binding cassette subfamily A member 3
ABCA4;chr1;93992834;93993242;-;8547;ATP binding cassette subfamily A member 4
ABCA5;chr17;69244311;69247644;-;13158;ATP binding cassette subfamily A member 5
ABCA6;chr17;69078702;69079074;-;14158;ATP binding cassette subfamily A member 6
ABCA7;chr19;1039997;1040196;+;9591;ATP binding cassette subfamily A member 7
ABCA8;chr17;68867289;68868183;-;11246;ATP binding cassette subfamily A member 8
ABCA9;chr17;68974488;68976013;-;9024;ATP binding cassette subfamily A member 9
ABCA9-AS1;chr17;68944531;68944907;+;2990;ABCA9 antisense RNA 1
ABCB1;chr7;87503017;87504449;-;6422;ATP binding cassette subfamily B member 1
ABCB10;chr1;229516582;229518410;-;4268;ATP binding cassette subfamily B member 10
ABCB10P1;chr15;23179869;23182049;+;2181;ABCB10 pseudogene 1
ABCB11;chr2;168915498;168915682;-;7715;ATP binding cassette subfamily B member 11
ABCB4;chr7;87401696;87402302;-;7728;ATP binding cassette subfamily B member 4
ABCB5;chr7;20615667;20615837;+;8796;ATP binding cassette subfamily B member 5
ABCB6;chr2;219209772;219210046;-;5205;ATP binding cassette subfamily B member 6 (Langereis blood group)
ABCB7;chrX;75051048;75053585;-;5364;ATP binding cassette subfamily B member 7
ABCB8;chr7;151028422;151028610;+;9336;ATP binding cassette subfamily B member 8
ABCB9;chr12;122920951;122921043;-;13282;ATP binding cassette subfamily B member 9
ABCC1;chr16;15949138;15949260;+;8736;ATP binding cassette subfamily C member 1
ABCC10;chr6;43427366;43427389;+;8087;ATP binding cassette subfamily C member 10
ABCC11;chr16;48165773;48167366;-;8469;ATP binding cassette subfamily C member 11
ABCC12;chr16;48080882;48083801;-;9897;ATP binding cassette subfamily C member 12
ABCC13;chr21;14236206;14236306;+;10933;ATP binding cassette subfamily C member 13 (pseudogene)
ABCC2;chr10;99782640;99782877;+;7837;ATP binding cassette subfamily C member 2
ABCC3;chr17;50634777;50634810;+;9615;ATP binding cassette subfamily C member 3
ABCC4;chr13;95019835;95021682;-;8629;ATP binding cassette subfamily C member 4
ABCC5;chr3;183919934;183921401;-;11365;ATP binding cassette subfamily C member 5
ABCC5-AS1;chr3;184006338;184006461;+;469;ABCC5 antisense RNA 1
ABCC6;chr16;16149565;16150241;-;6908;ATP binding cassette subfamily C member 6
ABCC6P1;chr16;18571162;18571311;+;3448;ATP binding cassette subfamily C member 6 pseudogene 1
ABCC8;chr11;17392498;17393128;-;27254;ATP binding cassette subfamily C member 8
ABCC9;chr12;21797389;21801181;-;17483;ATP binding cassette subfamily C member 9
ABCD1;chrX;153724856;153726166;+;4238;ATP binding cassette subfamily D member 1
ABCD2;chr12;39550033;39554131;-;6290;ATP binding cassette subfamily D member 2
ABCD3;chr1;94418389;94418588;+;7655;ATP binding cassette subfamily D member 3
ABCD4;chr14;74285269;74286529;-;8922;ATP binding cassette subfamily D member 4
ABCE1;chr4;145098288;145098419;+;6254;ATP binding cassette subfamily E member 1
ABCF1;chr6;30571393;30571560;+;4496;ATP binding cassette subfamily F member 1
ABCF2;chr7;151211484;151214191;-;5158;ATP binding cassette subfamily F member 2
ABCF2P1;chr3;88317156;88319022;+;1867;ATP binding cassette subfamily F member 2 pseudogene 1
ABCF2P2;chr7;72103181;72103341;+;296;ATP binding cassette subfamily F member 2 pseudogene 2
ABCF3;chr3;184186095;184186280;+;5135;ATP binding cassette subfamily F member 3
ABCG1;chr21;42199689;42199849;+;6121;ATP binding cassette subfamily G member 1
ABCG2;chr4;88090150;88092381;-;5602;ATP binding cassette subfamily G member 2 (Junior blood group)
ABCG4;chr11;119149052;119149363;+;6231;ATP binding cassette subfamily G member 4
ABCG5;chr2;43812472;43813309;-;3720;ATP binding cassette subfamily G member 5
ABCG8;chr2;43831942;43832661;+;10179;ATP binding cassette subfamily G member 8
ABHD1;chr2;27123789;27124062;+;4630;abhydrolase domain containing 1
ABHD10;chr3;111979010;111979203;+;3026;abhydrolase domain containing 10, depalmitoylase
