"","ID","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"ZNF141","ZNF141","4",1519.83064281717,-0.410719093419714,0.127083067585055,-3.23189470654558,0.00122972359777762,0.021004304333227,"DOWN",337814,384868,"+",40.31,536,NA,"zinc finger protein 141"
"CEP44","CEP44","4",629.057912570277,-0.448772110948258,0.152559430797255,-2.94162156087653,0.00326498666680208,0.0353161750998547,"DOWN",174283730,174333380,"+",35.65,600,336,"centrosomal protein 44"
"DCAF16","DCAF16","4",1395.47398551656,-0.657914536878277,0.184152205546774,-3.57266715826094,0.000353363778280531,0.0115962772611844,"DOWN",17793446,17810758,"-",38.69,2633,NA,"DDB1 and CUL4 associated factor 16"
"TMEM161B","TMEM161B","5",610.824287377964,-0.563614333028616,0.163568537286339,-3.44573805194557,0.000569502113964313,0.0145940142505095,"DOWN",88185575,88269476,"-",35.56,5735,1509,"transmembrane protein 161B"
"TNPO1","TNPO1","5",5087.35695284764,-0.804327321213442,0.171766754822013,-4.68267169655091,2.8315983264422e-06,0.00093922389999178,"DOWN",72816312,72916733,"+",37.25,11040,2613,"transportin 1"
"ARHGAP19","ARHGAP19","10",391.638493547749,-0.55051137980824,0.195651057505435,-2.81374088557097,0.00489686821588109,0.0447497767630093,"DOWN",97222173,97292673,"-",42.77,5525,902,"Rho GTPase activating protein 19"
"ATF7IP","ATF7IP","12",4801.38766553506,-0.502296945921104,0.138789093115203,-3.61913846864154,0.000295585451650911,0.0106861430995948,"DOWN",14365676,14502931,"+",36.09,2298,NA,"activating transcription factor 7 interacting protein"
"ARID2","ARID2","12",2343.54091865228,-0.527373128851275,0.122147899408056,-4.31749650552314,1.57808906331487e-05,0.00240048189215934,"DOWN",45729706,45908040,"+",36.08,735,NA,"AT-rich interaction domain 2"
"MIS18BP1","MIS18BP1","14",701.458696146028,-0.880010011144563,0.199297463608313,-4.41556051548193,1.00748589129706e-05,0.00191866565093786,"DOWN",45203190,45253540,"-",37.65,4577,3399,"MIS18 binding protein 1"
"ZNF121","ZNF121","19",1587.97908788466,-0.52333304629835,0.112512320182163,-4.65133991949548,3.29785218473829e-06,0.00093922389999178,"DOWN",9560329,9584504,"-",41.93,7177,1173,"zinc finger protein 121"
"ZNF615","ZNF615","19",1005.14527188618,-0.652883960642745,0.132081002915698,-4.94305726206105,7.69068825967105e-07,0.000476940990380523,"DOWN",51991332,52008230,"-",39.06,4094,2196,"zinc finger protein 615"
"ZNF43","ZNF43","19",980.594268634756,-0.707393197693451,0.170414368219361,-4.15101851495807,3.30998985136903e-05,0.00361355354089549,"DOWN",21804946,21852125,"-",41.77,5584,2412,"zinc finger protein 43"
"CYP4F3","CYP4F3","19",223.283530235453,-1.90591511723821,0.485115444752369,-3.92878672047042,8.53755159280792e-05,0.00562228028136456,"DOWN",15640897,15662825,"+",45.74,2078,NA,"cytochrome P450 family 4 subfamily F member 3"
"RAP2C","RAP2C","X",809.981132616258,-0.608162932473692,0.158648653644305,-3.83339485399738,0.000126386837188303,0.00676281425715997,"DOWN",132203024,132219480,"-",37.77,3341,354,"RAP2C, member of RAS oncogene family"
"MT-TC","MT-TC","MT",2202.85048961145,-1.57945945026847,0.54756634498386,-2.88450790436185,0.00392025917103778,0.0395287813527493,"DOWN",5761,5826,"-",45.45,66,NA,"mitochondrially encoded tRNA-Cys (UGU/C)"
"MT-TY","MT-TY","MT",1427.3305765336,-2.03080946847552,0.587402415402452,-3.45727122535603,0.000545675342522617,0.0142987040457768,"DOWN",5826,5891,"-",42.42,66,NA,"mitochondrially encoded tRNA-Tyr (UAU/C)"
