"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"PCSK9","1",39.4214241674546,2.81556085366417,0.740271103933741,3.80341855666459,0.000142712926540132,0.0168373406892665,"UP",55039445,55064852,"+",55.53,3424,240,"proprotein convertase subtilisin/kexin type 9"
"ENSG00000228153","1",29.8290743267117,2.47471067333703,0.594231328379785,4.16455773222948,3.11956684906589e-05,0.00718628792844643,"UP",204663872,204664613,"+",52.7,445,NA,"novel transcript"
"GPR153","1",581.834451468947,1.70169934592014,0.393929544510484,4.31980634515433,1.56166182109291e-05,0.0049963315185462,"UP",6247353,6261098,"-",60.53,4198,1830,"G protein-coupled receptor 153"
"MSH4","1",77.7065673265811,1.52212296158416,0.437426413399435,3.47972348024224,0.000501931550616013,0.0312879290804095,"UP",75796882,75913242,"+",37.01,3270,2811,"mutS homolog 4"
"KAZN-AS1","1",122.605588437682,1.46314299064003,0.450802506976248,3.24564075842001,0.00117186615678563,0.0468059029571453,"UP",14338825,14419973,"-",42.04,1299,NA,"KAZN antisense RNA 1"
"GRIK3","1",2117.00714850676,1.2460602804858,0.383159535061288,3.25206648005376,0.00114569221346174,0.0463373108274008,"UP",36795527,37034515,"-",49.63,9491,2760,"glutamate ionotropic receptor kainate type subunit 3"
"HIVEP3","1",3431.11141514746,1.23103790035269,0.255753701744032,4.81337275651539,1.48404106236134e-06,0.00176167776837869,"UP",41506365,42035925,"-",46.45,12216,7218,"HIVEP zinc finger 3"
"HS6ST1P1","1",605.758418800191,1.22335086949783,0.261739067135101,4.67393302378651,2.95485728494041e-06,0.00243765062805471,"UP",21428303,21429536,"+",67.1,1234,NA,"heparan sulfate 6-O-sulfotransferase 1 pseudogene 1"
"ENSG00000289610","1",56.7320629852536,1.15447048090705,0.341032608335101,3.3852202185096,0.000711211710869453,0.0359109946536296,"UP",2585590,2586283,"+",64.55,694,NA,"novel transcript"
"SNORA14B","1",542.889273010093,1.13672726376012,0.328930148188293,3.45583179292344,0.000548597550817023,0.0327614329976803,"UP",235127803,235127937,"-",46.67,135,NA,"small nucleolar RNA, H/ACA box 14B"
"KIF21B","1",8651.96447304783,1.09084584158761,0.256099822060247,4.25945567947716,2.04925325559392e-05,0.00591948805712297,"UP",200969390,201023714,"-",55.01,9897,4875,"kinesin family member 21B"
"ENSG00000280222","1",347.097515702986,1.07312223228046,0.333039828177968,3.22220389720779,0.00127208574076009,0.0483777895965317,"UP",18109389,18115861,"+",54.4,6473,NA,"TEC"
"FAM43B","1",607.34895463848,1.03608290789519,0.30291476545301,3.42037769715755,0.000625342472133316,0.0340069706528812,"UP",20552573,20555020,"+",67.65,2448,990,"family with sequence similarity 43 member B"
"ENSG00000288398","1",521.870252007102,0.98846475529572,0.258191609208981,3.82841548694812,0.000128970901893842,0.0157539910767902,"UP",16228674,16231335,"-",56.35,2662,NA,"novel transcript"
"SEMA6C","1",810.895644959543,0.976909565448644,0.228848534910386,4.26880410587373,1.96523762677982e-05,0.00585741513394669,"UP",151131685,151146631,"-",57.43,3817,2889,"semaphorin 6C"
"TMCC2","1",7225.74637666345,0.91182637369491,0.225922187751854,4.03601958164655,5.43656806195284e-05,0.0098125996377904,"UP",205227946,205285632,"+",51.63,3968,2130,"transmembrane and coiled-coil domain family 2"
"CPLANE2","1",268.605324156014,0.877672034579101,0.200842079203521,4.36996090689603,1.24268781832932e-05,0.00448591754837505,"UP",16231692,16237183,"-",54.1,1574,777,"ciliogenesis and planar polarity effector complex subunit 2"
"DENND4B","1",3381.90730157359,0.855219257398461,0.227061627207772,3.76646317528543,0.000165576492715275,0.0177983691236073,"UP",153929501,153946718,"-",56.5,2530,NA,"DENN domain containing 4B"
"DVL1","1",4399.90919063904,0.791595522369218,0.227008023435667,3.48708169160177,0.00048832217228955,0.0310804212078817,"UP",1335276,1349418,"-",66.32,2926,2013,"dishevelled segment polarity protein 1"
