"","Chr","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val","DifExpressed","start_position","end_position","strand","percentage_gene_gc_content","transcript_length","cds_length","Description"
"ENSG00000228153","1",29.8290743267117,2.69844935614631,0.644799372291409,4.18494414248092,2.85236231726361e-05,0.00344936175026689,"UP",204663872,204664613,"+",52.7,445,NA,"novel transcript"
"RNA5S9","1",61.6749086943413,2.60571910890797,0.633675805729612,4.11206974504535,3.92127791395115e-05,0.00372978712774229,"UP",228628148,228628266,"-",61.34,119,NA,"RNA, 5S ribosomal 9"
"ENSG00000279839","1",37.7934181273762,2.47098255909909,0.752725541491501,3.28271384840073,0.00102812971357937,0.0192779949545801,"UP",3205988,3208664,"+",59.06,2677,NA,"TEC"
"ENSG00000286518","1",28.1468054445133,2.34690876073618,0.74944835453777,3.13151499569794,0.00173906904543882,0.0249324978855859,"UP",3367815,3373928,"-",53.17,2784,NA,"novel transcript, antisense to PRDM16"
"ENSG00000287828","1",26.0668319892822,2.33766399639357,0.625074359299275,3.73981744990172,0.000184153945786229,0.00826335312205147,"UP",3312741,3323149,"-",52.87,728,NA,"novel transcript, antisense to PRDM16"
"SNORA58B","1",71.4931382732958,2.14848975978428,0.518493396692064,4.14371672521083,3.41721818314957e-05,0.00364176998212062,"UP",154259727,154259862,"+",48.53,136,NA,"small nucleolar RNA, H/ACA box 58B"
"SNORA80E","1",80.7293259056846,2.06067739002451,0.529221188195863,3.89379230459281,9.86891552284445e-05,0.00605791948124197,"UP",155919909,155920045,"-",54.74,137,NA,"small nucleolar RNA, H/ACA box 80E"
"ENSG00000287356","1",69.2768917409319,1.90954044194646,0.616558162011889,3.09709701306272,0.00195425906707437,0.0267642750828204,"UP",2314917,2323085,"+",66.32,4032,NA,"novel transcript, antisense to MORN1"
"ENSG00000272235","1",47.6677320777103,1.88854207973802,0.578407787414206,3.26507028575949,0.00109436917206935,0.0198711807775295,"UP",3306636,3310096,"-",54.23,3461,NA,"novel transcript"
"ENSG00000236390","1",50.8708759070886,1.87784087194378,0.49212400036691,3.81578803420221,0.00013574900059947,0.00689474145059678,"UP",201673105,201674144,"-",49.52,579,NA,"novel transcript"
"NTRK1","1",21.2634754751976,1.8753410888171,0.671202533190117,2.79400180434944,0.00520601881935363,0.0461218941995923,"UP",156815636,156881850,"+",53.11,2825,2211,"neurotrophic receptor tyrosine kinase 1"
"SNORA73B","1",23211.3775969179,1.8666640485254,0.384093986626768,4.85991479564422,1.17436284232504e-06,0.000603020623234858,"UP",28508559,28508762,"+",54.9,204,NA,"small nucleolar RNA, H/ACA box 73B"
"PDCL3P6","1",38.9080324206493,1.8594951563889,0.571610968120096,3.25307815996669,0.00114162090997309,0.0202874675449002,"UP",52179848,52180553,"+",44.76,706,NA,"PDCL3 pseudogene 6"
"SNORA14B","1",542.889273010093,1.85809082919056,0.362399611549712,5.12718769549696,2.94102275893938e-07,0.000297833232557281,"UP",235127803,235127937,"-",46.67,135,NA,"small nucleolar RNA, H/ACA box 14B"
"ENSG00000272865","1",100.014214576238,1.85320586600349,0.570074299159469,3.25081461966608,0.00115074865246753,0.020350519956877,"UP",242147230,242210832,"+",40.66,1070,NA,"novel transcript, antisense to PLD5"
"SCARNA4","1",44.0931334157407,1.84823246905998,0.53442582283187,3.45835173021089,0.000543491332293582,0.0142903401205983,"UP",155925958,155926085,"-",46.88,128,NA,"small Cajal body-specific RNA 4"
"MTND1P23","1",354.539891652493,1.83602941534362,0.477745292947967,3.84311356374492,0.00012148321991907,0.00668686557298019,"UP",629062,629433,"+",44.35,372,NA,"MT-ND1 pseudogene 23"
"ENSG00000287586","1",155.790264969584,1.80898889824277,0.528234331188108,3.4245954710554,0.000615715467474041,0.0151184713668296,"UP",4730211,4734992,"-",53.83,3030,NA,"novel transcript, antisense to AJAP1"
"SNORA77","1",27.0987048108436,1.79984187979795,0.547254968095523,3.28885434528168,0.00100596068034704,0.0190478947594354,"UP",203729581,203729705,"+",56.8,125,NA,"small nucleolar RNA, H/ACA box 77"
"TAS1R3","1",137.40818356281,1.79513825151893,0.389188555712126,4.61251551509328,3.97824839362603e-06,0.0010578719770805,"UP",1331280,1335314,"+",66.64,3475,2559,"taste 1 receptor member 3"
"CDA","1",63.7028832645603,1.75864549004334,0.576987619904675,3.04797785840515,0.00230386902005429,0.0294978168973177,"UP",20589086,20618903,"+",48.46,762,NA,"cytidine deaminase"
"ENSG00000269896","1",99.819251154302,1.75268703961495,0.390790282751198,4.48498111896714,7.29203914414962e-06,0.00153361094556872,"UP",2351644,2351857,"-",49.07,214,NA,"small nuclear ribonucleoprotein N (SNRPN) pseudogene"
"SNORA66","1",168.696673578803,1.75017886814168,0.486205792900541,3.59966683593112,0.000318625152391141,0.0111074202493316,"UP",92840719,92840851,"+",47.37,133,NA,"small nucleolar RNA, H/ACA box 66"
"PRDM16-DT","1",1508.93176853321,1.73695277090307,0.520441167490378,3.33746229046184,0.000845471937840342,0.0176064956000032,"UP",3059564,3070251,"-",63.3,2917,NA,"PRDM16 divergent transcript"
"ENSG00000270605","1",26.950412635527,1.734107811897,0.604977866720746,2.86639876810147,0.00415170917149848,0.0407686715476502,"UP",28239509,28247210,"-",43.48,1945,NA,"novel transcript"
"SNORD99","1",76.584201501409,1.7327480376219,0.520803012740982,3.32706991939709,0.000877643493022463,0.0179128147867015,"UP",28578749,28578822,"-",47.3,74,NA,"small nucleolar RNA, C/D box 99"
"KAZN-AS1","1",122.605588437682,1.72821282957861,0.495553172305663,3.48744176439784,0.000487665113806928,0.0137050792848759,"UP",14338825,14419973,"-",42.04,1299,NA,"KAZN antisense RNA 1"
"SCARNA3","1",36.1442344091078,1.72795358835805,0.55618095723289,3.10681904133316,0.00189112122237469,0.0262714864355854,"UP",175968398,175968540,"-",46.85,143,NA,"small Cajal body-specific RNA 3"
"ENSG00000240219","1",167.572995099052,1.72783987144836,0.505422675421917,3.41860378544749,0.000629433081618005,0.0152234685120131,"UP",204626775,204629712,"+",52.59,2219,NA,"novel transcript"
"CDK11A","1",225.993616284691,1.71349916027359,0.456558819627475,3.75307427347851,0.000174679071432627,0.00801667556294026,"UP",1702379,1724357,"-",52.05,2984,2343,"cyclin dependent kinase 11A"
"ENSG00000233519","1",22.0481884810073,1.66785606037325,0.567362515508267,2.9396655837919,0.00328566657668163,0.0355116997304623,"UP",240400671,240401123,"-",48.79,316,NA,"novel transcript, antisense to FMN2"
"CNKSR1","1",148.957019328137,1.65678158622579,0.445260786852261,3.72092408572129,0.00019849510601066,0.00852780242631975,"UP",26177484,26189884,"+",55.16,865,192,"connector enhancer of kinase suppressor of Ras 1"
"ENSG00000272449","1",62.7314276039883,1.65587394662483,0.497307881757024,3.32967565439443,0.000869472022711095,0.017809230887138,"UP",2530064,2547878,"+",63.19,1531,NA,"novel transcript"
"ARTN","1",40.929359104294,1.65454368485227,0.586666724841736,2.82024463770058,0.00479870502555401,0.0443660090780004,"UP",43933320,43937240,"+",63.76,1943,687,"artemin"
"KCNQ4","1",215.797144551832,1.58489172736342,0.381838258481934,4.15068865457443,3.31476419092221e-05,0.00361355354089549,"UP",40783787,40840452,"+",55.51,4324,2088,"potassium voltage-gated channel subfamily Q member 4"
"KCND3-AS1","1",65.6970596379906,1.58080416337952,0.478314557369658,3.30494679499755,0.000949944312360199,0.018589825763071,"UP",111909336,111910931,"+",47.87,470,NA,"KCND3 antisense RNA 1"
